Title,Artist,Nationality,Gender,Year,Medium,Classification
Every Woman from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
She Also Is the Mother from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
He Worshipped the Worm from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
To Plague His Heart from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
Construction,Aleksandr Rodchenko,(Russian),(Male),1940,Ink and colored ink on paper,Drawing
Black Candle in a Blue Room,Adja Yunkers,(American),(Male),1940,Gouache on paper,Drawing
Handball,Ben Shahn,(American),(Male),1940,Gouache on paperboard,Drawing
New Orleans Market,Jules Pascin,(American),(Male),1940,Watercolor on paper,Drawing
Iris and Pansies,Peter Blume,(American),(Male),1940,Pencil on paper,Drawing
Washington Square,William Glackens,(American),(Male),1940,"Charcoal, pencil, colored pencil, gouache, and watercolor on paper",Drawing
"Woman, Head on Hand",Amedeo Modigliani,(Italian),(Male),1940,Pencil on paper,Drawing
Portrait of a Woman,Amedeo Modigliani,(Italian),(Male),1940,Pencil on paper,Drawing
Head of a Girl,Eugene Speicher,(American),(Male),1940,Contí_crayon on paper,Drawing
Jules Pascin,Peggy Bacon,(American),(Female),1940,Transfer drawing,Drawing
The Good Samaritan,Eugene Berman,(American),(Male),1940,Ink on paper,Drawing
Birch Trees,Emile Branchard,(American),(Male),1940,Ink on paper,Drawing
Winding Road,Emile Branchard,(American),(Male),1940,Ink on paper,Drawing
"Sunday Stroll, Vienna",Adolf Dehn,(American),(Male),1940,Ink on paper,Drawing
Nude in Chemise,Emil Ganso,(American),(Male),1940,Charcoal pencil and pastel on paper,Drawing
Going to Get Married,"George Overbury (""Pop"") Hart",(American),(Male),1940,"Charcoal, pencil, and ink on gray paper",Drawing
Squash,Wanda Gíçg,(American),(Female),1940,Ink on paper,Drawing
Portrait of Pop Hart,Richard Lahey,(American),(Male),1940,Charcoal on paper,Drawing
Woman's Head,Gaston Lachaise,(American),(Male),1940,Chalk on paper,Drawing
Standing Girl (Stehendes Mí_dchen),Wilhelm Lehmbruck,(German),(Male),1940,Crayon on paper,Drawing
Feet (no. 2),Josí_Clemente Orozco,(Mexican),(Male),1940,Charcoal on paper,Drawing
Male Torso,Josí_Clemente Orozco,(Mexican),(Male),1940,Crayon on brown paper,Drawing
Figure Study,Jules Pascin,(American),(Male),1940,Lithographic crayon on paper,Drawing
Self-Portrait,Jules Pascin,(American),(Male),1940,Carbon transfer,Drawing
George Biddle and Jane Belo,Jules Pascin,(American),(Male),1940,Lithographic crayon on paper,Drawing
Mother and Child,Diego Rivera,(Mexican),(Male),1940,Ink and pencil on paper,Drawing
Two Figures,Diego Rivera,(Mexican),(Male),1940,"Chalk, wash, and pencil on gray paper",Drawing
Woman with Two Children,Diego Rivera,(Mexican),(Male),1940,Red and black chalk on gray paper,Drawing
Nude Study,Auguste Rodin,(French),(Male),1940,Ink on paper,Drawing
Barn,Charles Sheeler,(American),(Male),1940,Contí_crayon on paper,Drawing
Head of a Girl,Eugene Speicher,(American),(Male),1940,Contí_crayon on paper,Drawing
Head of Marie Honneger,John Storrs,(American),(Male),1940,Crayon on paper,Drawing
Edna St. Vincent Millay,William Zorach,(American),(Male),1940,Charcoal on paper,Drawing
Landscape,Charles Hopkinson,(American),(Male),1940,Watercolor on paper,Drawing
